Date,Description,Amount
2025-04-01,Starbucks,-4.50
2025-04-02,Paycheck from TechCorp,2500.00
2025-04-03,Trader Joe's,-85.30
2025-04-04,Netflix Subscription,-15.99
2025-04-05,Clipper Card,-50.00
2025-04-06,April Rent,-1200.00
2025-04-07,Amazon Marketplace,-32.99
2025-04-08,Chevron Gas,-40.00
2025-04-09,Upwork freelance,500.00
2025-04-10,T-Mobile,-60.00
2025-04-11,Costco Groceries,-120.45
2025-04-12,Gym Membership,-45.00
2025-04-13,Spotify,-10.99
2025-04-14,Paycheck from TechCorp,2500.00
2025-04-15,Uber,-18.75
2025-04-16,Electric Bill,-90.00
2025-04-17,Venmo to Friend,-35.00
2025-04-18,Best Buy Monitor,-210.00
2025-04-19,Trader Joe's,-92.80
2025-04-20,Freelance Bonus,300.00
2025-04-21,Shell Gas,-42.00
2025-04-22,Apple Subscription,-4.99
2025-04-23,Whole Foods,-78.45
2025-04-24,Lyft,-20.00
2025-04-25,Tech Refund,65.00
2025-04-26,Renters Insurance,-28.50
2025-04-27,CVS Pharmacy,-19.90
2025-04-28,Gas & Snacks,-35.25
2025-04-29,Paycheck from TechCorp,2500.00
2025-04-30,Internet Bill,-55.00
